Date,FR10,FRB0,FRC1,FRC2,FRD1,FRD2,FRE1,FRE2,FRF1,FRF2,FRF3,FRG0,FRH0,FRI1,FRI2,FRI3,FRJ1,FRJ2,FRK1,FRK2,FRL0
2017-07-19,291.976324583333,292.37390125,292.074598333333,291.744740833333,290.490183333333,290.68624,291.445022083333,291.470202083333,293.140919583333,292.004297916667,291.981692916667,292.086152083333,290.697867083333,292.837329166667,290.772044166667,292.877455,293.866251666667,291.707894583333,291.0081925,291.86159,293.668430833333
2017-07-20,292.0185675,292.496268333333,292.348741666667,291.802694583333,290.8437125,290.909379583333,290.345377083333,291.030745,291.752249166667,291.586130833333,290.957907916667,292.018075833333,290.48231125,293.57638125,291.42761625,292.855162916667,294.2612375,292.922670416667,291.545308333333,292.011872916667,293.142047916667
2017-07-21,292.35993125,292.665284583333,293.03705875,293.274671666667,290.687755833333,290.82136125,289.598012916667,290.733558333333,292.657397083333,291.657434583333,291.092874166667,292.2292575,290.769739583333,293.162220833333,290.787837083333,292.80062875,295.157659166667,293.059504166667,291.510551666667,293.78381125,295.063842083333
2017-07-22,291.987417083333,293.35494,293.588876666667,293.256215416667,290.77452,290.214830833333,289.32120875,290.47463125,291.93458875,291.55261125,290.880805833333,292.840170833333,291.112382916667,293.36729875,291.600745416667,293.068936666667,295.200917083333,293.106111666667,291.67089,292.880437083333,294.951213333333
2017-07-23,291.438062083333,292.463735416667,292.9064575,292.571389166667,289.8042225,289.677462916667,289.56297625,290.441015416667,292.354828333333,291.53776875,291.429797083333,291.185625,289.64290875,293.486077083333,291.59769375,292.8981575,294.884410833333,292.665796666667,291.559003333333,292.342365,294.8425825
2017-07-24,292.10883375,292.304234583333,291.980159166667,290.817102916667,290.589835833333,290.705997916667,290.170698333333,291.193622916667,290.457163333333,291.117290833333,289.793981666667,292.230314583333,290.26306625,294.380329583333,291.447257916667,293.406380833333,295.28465625,293.474412083333,290.823124166667,291.26298625,294.258570416667
2017-07-25,295.04757875,295.79634,294.793060833333,292.900357916667,292.47938625,292.47293875,292.573441666667,293.560229583333,292.30286625,294.252136666667,292.603215416667,295.358407916667,292.308082916667,297.262214166667,294.554715,297.0042325,296.394605416667,295.6678675,293.166054166667,292.852677083333,294.396752916667
2017-07-26,296.311612916667,297.68863375,296.731294583333,295.457044583333,294.08784625,293.6696425,292.923988333333,294.312011666667,295.508948333333,295.7718,295.1231725,297.746987083333,294.464584166667,299.8884875,297.109131666667,299.844185833333,295.190782083333,296.8413425,295.57510375,294.231279583333,293.764315833333
2017-07-27,299.318169166667,300.401452916667,299.100579583333,297.484704583333,297.670779166667,297.79648875,296.119825416667,298.084084583333,297.171085416667,298.042492916667,297.492122083333,299.5821875,296.32756625,300.258639583333,298.06252375,300.87454125,295.052627916667,297.210389166667,296.742488333333,295.238341666667,293.804428333333
2017-07-28,298.157524166667,297.414245,298.374600833333,298.359162916667,294.30698875,295.990013333333,296.262517916667,297.368656666667,298.969097916667,298.402427916667,298.726759583333,294.257124583333,292.103349583333,296.116674166667,295.057545,295.829901666667,294.786066666667,295.632833333333,295.18851,294.932503333333,293.423020833333
2017-07-29,292.79133,292.6221125,293.939481666667,294.653684166667,290.000977916667,290.509334166667,291.3836875,292.015650833333,295.117925833333,293.4116725,293.911216666667,291.082286666667,289.644505416667,293.025227916667,291.099195,292.408576666667,293.6362625,291.920884583333,291.422881666667,293.193739583333,294.202850416667
