Date,FR10_TA,FRB0_TA,FRC1_TA,FRC2_TA,FRF2_TA,FRF3_TA,FRG0_TA,FRH0_TA,FRI1_TA,FRI2_TA,FRI3_TA,FRJ2_TA,FRK1_TA,FRK2_TA
2020-10-20,288.7210147638889,288.93052361111114,288.40310999999997,287.17109225,288.17558555555553,287.27042097222227,288.80580225,287.8498732638889,289.6848777361111,287.0970609027778,289.37638677777784,287.8301600833333,286.21736576388884,285.705505
2020-10-21,288.4121529166666,288.5759732083334,287.9784777777777,286.6923239444444,287.8152104444444,286.872368013889,288.48788530555555,287.5802704305556,289.3115636666667,286.67925583333334,289.01817054166673,287.42523227777775,285.7566872638889,285.24027338888885
2020-10-22,287.96777444444444,288.06490973611113,287.4783367361111,286.21221299999996,287.32881227777773,286.39457140277784,287.9896494305556,287.18997565277783,288.7603919583333,286.14206887500006,288.4737875277778,286.90218137499994,285.2306179305555,284.76811000000004
2020-10-23,287.4503790138889,287.51763622222217,286.9168280694444,285.6779188611111,286.7722056527778,285.86895233333337,287.5467779861111,286.87747125000004,288.2659150972222,285.6109196111111,287.9693686111111,286.3952675555555,284.6787537361111,284.26039870833335
2020-10-24,287.0019114027777,287.05039038888896,286.44911638888885,285.2472306388889,286.3000440138889,285.4017394305556,287.08738295833336,286.55137211111116,287.7657432916667,285.1385719861111,287.49129012500003,285.9058558055556,284.21623062500004,283.8376468333334
2020-10-25,286.6157280416666,286.61759220833335,286.00970936111105,284.80164924999997,285.90301718055554,285.01071066666674,286.65027636111114,286.1984640555556,287.2588689166667,284.6662347777778,287.0029425138889,285.41556697222217,283.77783550000004,283.4176964722222
2020-10-26,286.2020782638889,286.14380608333335,285.4944567638888,284.3205662777778,285.4855013472222,284.62515445833344,286.2480179861111,285.8688977361111,286.8224882638889,284.1904420833334,286.5634008472222,284.9684360555555,283.2805953611111,282.9535086388889
2020-10-27,285.757735375,285.75181830555556,285.04546344444435,283.9104574166666,285.05968416666667,284.25796363888895,285.9545474027778,285.6517206111111,286.590704625,283.87451379166674,286.2645334027778,284.6765889583333,282.9178215138889,282.56321875
2020-10-28,285.4642283472222,285.5723132361111,284.84257461111105,283.69331558333323,284.78032294444444,284.0321650277778,285.83656430555556,285.5648603333333,286.526582875,283.79724622222227,286.1444334722222,284.58354077777767,282.81063080555555,282.39098188888886
2020-10-29,285.384822,285.51195651388883,284.78166383333325,283.6120128888888,284.7225950138889,283.9865865694445,285.7292180555556,285.4490026527778,286.5822513194445,283.8089360138889,286.0927974722223,284.58769748611104,282.79327040277786,282.3186397638889
2020-10-30,285.3253710555555,285.45207951388886,284.7250468472221,283.5040565138888,284.66073223611113,283.9177452638889,285.62685754166665,285.3133176805556,286.55165783333337,283.7942496250001,286.02219049999997,284.57492884722217,282.78215940277784,282.23677994444444
2020-10-31,285.2215350555555,285.32362618055555,284.57258497222205,283.3561898611111,284.5316767916667,283.78159650000003,285.52747933333336,285.2260069166667,286.42993640277774,283.67508066666676,285.9122034027778,284.4284658472222,282.6472832222223,282.0854542916667
2020-11-01,285.2314766111111,285.3040413194445,284.4637439722221,283.2077578749999,284.47283926388894,283.703565125,285.5951907638889,285.29846126388895,286.33852877777775,283.5888084444445,285.90093081944445,284.2793988888888,282.5123637916667,281.90493681944446
2020-11-02,285.2468287916666,285.3121938472222,284.5000031805555,283.30104206944446,284.5213166527779,283.77909190277785,285.5827871944445,285.2576205277779,286.3682739027778,283.633240888889,285.88729119444446,284.33577761111104,282.5919068194445,281.9699062222222
2020-11-03,285.21140399999996,285.29032034722223,284.5005522222221,283.2983034722222,284.5305875833334,283.81263031944457,285.5491935138889,285.2201187777778,286.34222884722215,283.6542721527778,285.87861873611115,284.31483455555554,282.6289780138889,281.9993734861111
2020-11-04,285.15330566666665,285.2910457222222,284.51988702777766,283.3535495972222,284.4788411666667,283.81485538888893,285.5536836388889,285.22004191666673,286.37776793055554,283.7193307083334,285.91246868055555,284.3691377361111,282.7134839027778,282.0476195277778
2020-11-05,285.14032633333323,285.29246330555554,284.57890638888875,283.4097457638889,284.5204208333334,283.87124845833335,285.5278685833334,285.1798428611111,286.3734414305555,283.76977669444454,285.9106434166667,284.37915872222214,282.8014479305556,282.0965915694444
2020-11-06,285.06065940277773,285.2428121666666,284.5527471666665,283.4040820972222,284.46272108333335,283.82446300000004,285.4701839583333,285.1240197638889,286.3750274583333,283.78996979166675,285.88654055555554,284.38206523611103,282.83885038888894,282.0732462777778
2020-11-07,284.98502301388885,285.1590025972222,284.4957435555554,283.38327825,284.3912693194445,283.76693973611117,285.39772313888886,285.0997788472223,286.29711051388887,283.7558284166668,285.7720208888889,284.31131433333326,282.82535777777775,282.029226875
2020-11-08,284.97464348611106,285.1306962222222,284.43460431944436,283.30046988888887,284.3881689027778,283.74580136111115,285.3852755833333,285.1303910694445,286.2553615416666,283.74803487500014,285.7378721805556,284.2796203194444,282.8042077638889,281.9644847638889
2020-11-09,285.1126340694444,285.28533270833327,284.54894781944427,283.375385375,284.5156892916667,283.83292105555563,285.53525834722217,285.2942955138889,286.40156406944436,283.8941291805557,285.8715703611112,284.38867059722213,282.9207971944444,281.95322494444446
2020-11-10,285.27740016666667,285.4805916111111,284.77753916666654,283.60029820833336,284.71499795833336,284.0514064861111,285.6691785,285.37846434722235,286.5524825138889,284.08878965277785,286.0094705833333,284.55361624999995,283.1404592361111,282.0960494583333
2020-11-11,285.1751360833333,285.3866418472222,284.7426935138888,283.58764725,284.6495695416667,284.00699700000007,285.5660180416666,285.2773603750001,286.5447947361111,284.0766733611112,285.93400279166667,284.56472668055545,283.14871468055554,282.123542611111
2020-11-12,284.9539061805555,285.1700265555555,284.58097583333324,283.4773577916667,284.46149252777775,283.84261552777775,285.3378302638888,285.07624316666676,286.3664423472222,283.9046470277779,285.69973327777774,284.440266986111,282.9992934166666,282.06091555555554
2020-11-13,284.7250204027778,284.94828873611107,284.407262611111,283.36234693055553,284.2510982638889,283.64562913888886,285.11685961111107,284.8754446666668,286.14182912499996,283.7422771111112,285.46738311111113,284.2665115972222,282.83487854166657,281.9740798888888
2020-11-14,284.50882240277775,284.80025899999987,284.281110861111,283.271909125,284.0793479722222,283.4709885138889,284.97101712499995,284.7329157500001,286.1205376527778,283.7414388055557,285.3844789027778,284.2571243888888,282.8022433472222,281.9150703194444
2020-11-15,284.3590566805555,284.7145625694444,284.24179588888876,283.1566123611111,283.9781772083333,283.32632195833327,284.88506638888884,284.6590710694445,286.1205073194444,283.7927235555556,285.3602307083333,284.26779033333327,282.81119799999993,281.89338740277776
2020-11-16,284.3373964166667,284.70908981944444,284.2327965833332,283.07135500000004,283.95838829166667,283.2344904444444,284.8795789444444,284.7001747777779,286.1107415972222,283.80798920833337,285.36046690277783,284.2322438888888,282.8117510555555,281.8618294027777
2020-11-17,284.40201779166665,284.7663217222222,284.2856835277777,283.07761412499997,284.0328694722222,283.30383116666667,284.9544703472221,284.78043847222233,286.10294336111116,283.85799791666676,285.40592691666666,284.23267466666664,282.8577778333332,281.8545124722222
2020-11-18,284.4695949444445,284.83744824999997,284.37489619444426,283.14272015277777,284.11036425000003,283.367377375,285.0021136805555,284.8000674861112,286.1380532361111,283.97491773611114,285.4591161944444,284.31430152777773,282.9781390138888,281.9155057916667
2020-11-19,284.50878258333336,284.88714849999997,284.4318536388888,283.20831936111114,284.18029266666673,283.41450538888887,285.05624886111104,284.8640111250001,286.16584537499995,284.0433560277778,285.50594718055555,284.34924586111106,283.04027274999993,281.96653155555555
2020-11-20,284.55361955555566,284.95681516666656,284.5203855694444,283.31483197222224,284.2387450416667,283.47123355555556,285.07901759722216,284.8899957777778,286.1946670694444,284.15376420833337,285.5676726388889,284.3939040277777,283.1658855277777,282.0522609027778
2020-11-21,284.6356242777778,285.07458572222214,284.59371645833323,283.3784744166667,284.32488009722226,283.5664980972222,285.24314323611105,285.0257632222223,286.28078140277773,284.27866302777784,285.6855229305555,284.5038479583333,283.2712239722222,282.115438875
2020-11-22,284.76662568055565,285.21808651388886,284.7112861527777,283.48598743055555,284.4508416388889,283.6992031527778,285.38772248611104,285.16650398611114,286.42018618055556,284.45387306944457,285.8322034305556,284.67703777777774,283.43670429166656,282.2321899722222
2020-11-23,284.86976951388897,285.3438039166666,284.8219337222221,283.5946805416667,284.554118125,283.82269161111105,285.5345810138888,285.27152238888897,286.6028263749999,284.6293598472223,285.98063041666666,284.88770276388885,283.62668149999996,282.32688015277773
