code;libelle;etat;insee_commune;nom_commune;mo_raison_sociale;x;y;precision_coord;categorie;puissance_maximum;productible_moyen;debit;coef_energetique;nb_turbines;type_turbine;titre;date_echeance_titre;hauteur_de_chute
12090001;Microcentrale Le Rival;EXPL;12090;Druelle Balsac;CAYLA ELECTRICITE;660897.8;6360267.5;0;Ouvrage fonctionnant au fil de l'eau;0.148000001907349;401209;;;;;;;2.59999990463257
12094001;CAMBEYRAC;EXPL;12094;Entraygues-sur-Truyère;ELECTRICITE DE FRANCE;666182.3;6395135;0;Ouvrage fonctionnant par éclusées;19.7999992370605;25106044;220;"0,024000";3;Hélice horizontale;Concédée;2032-12-31;10.8999996185303
12094002;Moulin d'Olt (Entraygues sur Truyere);EXPL;12094;Entraygues-sur-Truyère;ENERGIE VERTE D'ENTRAYGUES;666083.2;6393146;0;Ouvrage fonctionnant au fil de l'eau;;3060839;;;;;;;2.45000004768372
12094003;Moulin d'Entraygues sur Truyère;EXPL;12094;Entraygues-sur-Truyère;MOULIN D'ENTRAYGUES SUR TRUYERE;665413.7;6394150.5;0;Ouvrage fonctionnant au fil de l'eau;0.800000011920929;1031681;;;;;;;3
12097001;Centrale de La Daze;EXPL;12097;Espeyrac;SOCIETE D'EXPLOITATION DES CHUTES DE LA DASE;659425.7;6393332;0;Ouvrage fonctionnant au fil de l'eau;1.20000004768372;3275767;;;;;Concédée (autorisable);;98
12110001;GOLINHAC;EXPL;12110;Golinhac;ELECTRICITE DE FRANCE;668664.59;6389693.18;0;Ouvrage fonctionnant par éclusées;45.2999992370605;109837336;82;"0,154000";3;Francis;Concédée;2035-12-31;71.1999969482422
12114001;Moulin d'Olt;EXPL;12076;Conques-en-Rouergue;LE MOULIN D'OLT;647147.9;6393346.5;0;Ouvrage fonctionnant au fil de l'eau;3.92000007629395;10100251;68;;;;;;4.69999980926514
12128001;LESCURE JAOUL;EXPL;12128;Lescure-Jaoul;SOC FR DES CHUTES ET BARRAGES;632300;6348253.5;0;Ouvrage fonctionnant au fil de l'eau;0.600000023841858;1322271;0.800000011920929;;2;Hélice verticale;Autorisée;2016-12-31;86.5
12128002;St AMANS de CADOULE;EXPL;12128;Lescure-Jaoul;SOC FR DES CHUTES ET BARRAGES;633015.6;6346659;0;Ouvrage fonctionnant au fil de l'eau;0.600000023841858;1038139;1.10000002384186;;2;Hélice verticale;Autorisée;2016-12-31;65.8000030517578
12129001;Centrale du Blancard;EXPL;12129;Lestrade-et-Thouels;SARL SOLEYROL;674659.56;6328237.5;0;Ouvrage fonctionnant au fil de l'eau;0.194999992847443;531769;0.5;;2;Francis;Autorisée;2021-06-03;40
12130001;MARCENAC 1;EXPL;12130;Livinhac-le-Haut;ETABLISSEMENTS BEGUERIE;639827.4;6389070.5;0;Ouvrage fonctionnant au fil de l'eau;2.20000004768372;6154904;;;1;Kaplan;Autorisée;2027-10-27;5.36999988555908
12130002;MARCENAC 2;EXPL;12130;Livinhac-le-Haut;ETABLISSEMENTS BEGUERIE;639837.7;6389114.5;0;Ouvrage fonctionnant au fil de l'eau;4.40000009536743;9996393;85;;2;Kaplan;Autorisée;2027-10-27;5.36999988555908
12130003;Centrale de la Roque Bouillac;EXPL;12130;Livinhac-le-Haut;EVOLTA;636297;6387140;0;Ouvrage fonctionnant au fil de l'eau;1.39999997615814;3572890;;;;;Concédée (autorisable);;2.29999995231628
12136001;Centrale de Ramouillet;EXPL;12136;Maleville;PRODELEC;628477.06;6362790.5;0;Ouvrage fonctionnant au fil de l'eau;;985346;;;;;;;3.5
12145001;TROUSSY;EXPL;12145;Millau;FORCES MOTRTICES DE FAREBOU FMF SITE DE TROUSSY;706776.2;6335045.5;0;Ouvrage fonctionnant au fil de l'eau;0.486999988555908;2073186;;;;;;;2.48000001907349
12145002;Centrale de la Glacière;EXPL;12145;Millau;LA GUINGUETTE;705831;6332471;0;Ouvrage fonctionnant au fil de l'eau;0.340000003576279;;;;;VLH (Very Low Head Turbine);Autorisée;;1.86000001430511
12150001;Microcentrale de Monteils - Le Moulin;EXPL;12150;Monteils;PHALIP RENEE;620296.7;6352527.78;0;Ouvrage fonctionnant au fil de l'eau;0.100000001490116;180333;;;;;;;2.25
12151001;MONTEZIC;EXPL;12151;Montézic;ELECTRICITE DE FRANCE;671782.94;6403388;0;Ouvrage de type Lac;966.5;1619744640;273;"0,960000";4;Francis;Concédée;2025-12-31;423
12154001;Moulin Neuf;HORS;12154;Montlaur;FOURNIER CLARENS;685152.06;6310299.5;0;Ouvrage fonctionnant au fil de l'eau;0.209999993443489;160134;6.19999980926514;;1;;;;3.5
